model,context_length,noise_ratio,entropy,correct
GPT2-Small,32,0.1,4.795863668123881,0
GPT2-Small,32,0.1,4.880979577700297,1
GPT2-Small,32,0.1,4.581583678722382,1
GPT2-Small,32,0.1,4.614062786102295,1
GPT2-Small,32,0.1,4.640043993790944,0
GPT2-Small,32,0.1,4.767518838246663,1
GPT2-Small,32,0.1,4.915732006231944,1
GPT2-Small,32,0.1,4.737365047136943,0
GPT2-Small,32,0.1,4.61167178551356,1
GPT2-Small,32,0.1,4.8706721266110735,1
GPT2-Small,32,0.1,4.798567354679108,0
GPT2-Small,32,0.1,4.573293308417003,1
GPT2-Small,32,0.1,4.668452183405559,1
GPT2-Small,32,0.1,4.788708666960399,1
GPT2-Small,32,0.1,4.581810891628265,1
GPT2-Small,32,0.1,4.8932920296986895,0
GPT2-Small,32,0.1,4.8591994643211365,1
GPT2-Small,32,0.1,4.791479508082072,0
GPT2-Small,32,0.1,4.645197848478953,0
GPT2-Small,32,0.1,4.578563829263051,0
GPT2-Small,32,0.1,4.740241984526317,0
GPT2-Small,32,0.1,4.738033612569173,0
GPT2-Small,32,0.1,4.591325620810191,1
GPT2-Small,32,0.1,4.686528205871582,1
GPT2-Small,32,0.1,4.942403634389241,1
GPT2-Small,32,0.1,4.8068495988845825,1
GPT2-Small,32,0.1,4.614790340264638,1
GPT2-Small,32,0.1,4.865452488263448,1
GPT2-Small,32,0.1,4.781559904416402,1
GPT2-Small,32,0.1,4.726304630438487,0
GPT2-Small,32,0.1,4.531030257542928,0
GPT2-Small,32,0.1,4.721536894639333,1
GPT2-Small,32,0.1,4.8038180867830915,0
GPT2-Small,32,0.1,4.874635616938273,1
GPT2-Small,32,0.1,4.745610972245534,0
GPT2-Small,32,0.1,4.567466119925181,0
GPT2-Small,32,0.1,4.623778760433197,0
GPT2-Small,32,0.1,4.627958714962006,0
GPT2-Small,32,0.1,4.8458728194236755,1
GPT2-Small,32,0.1,4.7476367354393005,0
GPT2-Small,32,0.1,4.8812917073567705,1
GPT2-Small,32,0.1,4.627071062723796,0
GPT2-Small,32,0.1,4.723176995913188,1
GPT2-Small,32,0.1,4.703906397024791,1
GPT2-Small,32,0.1,4.705013593037923,0
GPT2-Small,32,0.1,4.724095980326335,0
GPT2-Small,32,0.1,4.727513035138448,1
GPT2-Small,32,0.1,4.619070331255595,1
GPT2-Small,32,0.1,4.489104092121124,1
GPT2-Small,32,0.1,4.7238563895225525,0
GPT2-Small,32,0.1,4.822301348050435,1
GPT2-Small,32,0.1,4.777041395505269,0
GPT2-Small,32,0.1,4.637953102588654,0
GPT2-Small,32,0.1,4.61554491519928,1
GPT2-Small,32,0.1,4.82318119208018,0
GPT2-Small,32,0.1,4.719257990519206,1
GPT2-Small,32,0.1,4.798476715882619,1
GPT2-Small,32,0.1,4.682387828826904,1
GPT2-Small,32,0.1,4.798070351282756,1
GPT2-Small,32,0.1,4.566736102104187,1
GPT2-Small,32,0.1,4.689932584762573,1
GPT2-Small,32,0.1,4.680250942707062,0
GPT2-Small,32,0.1,4.7412461042404175,0
GPT2-Small,32,0.1,4.614466309547424,1
GPT2-Small,32,0.1,4.649270315965016,1
GPT2-Small,32,0.2,4.904675920804341,0
GPT2-Small,32,0.2,4.948681712150574,1
GPT2-Small,32,0.2,4.849562923113505,0
GPT2-Small,32,0.2,4.7128093640009565,0
GPT2-Small,32,0.2,4.859505295753479,0
GPT2-Small,32,0.2,5.051101764043172,0
GPT2-Small,32,0.2,4.9992689689000445,0
GPT2-Small,32,0.2,4.857650299866994,0
GPT2-Small,32,0.2,4.926569898923238,0
GPT2-Small,32,0.2,4.9548042217890425,0
GPT2-Small,32,0.2,4.95465886592865,0
GPT2-Small,32,0.2,4.805512607097626,1
GPT2-Small,32,0.2,4.792460521062215,0
GPT2-Small,32,0.2,5.000836451848348,0
GPT2-Small,32,0.2,4.9277503490448,0
GPT2-Small,32,0.2,4.855400800704956,1
GPT2-Small,32,0.2,4.685978909333547,0
GPT2-Small,32,0.2,4.930864254633586,0
GPT2-Small,32,0.2,4.904826402664185,0
